Time,CPU%,MemoryMB,Handles,Threads,Anomaly
22:25:05,0,155,275,1,False
22:25:35,0,155,275,1,False
22:26:05,0,155,275,1,False
22:26:35,0,155,275,1,False
22:27:05,0,155,275,1,False
22:27:35,0,155,275,1,False
22:28:05,0,155,275,1,False
22:28:35,0,155,275,1,False
22:29:05,0,155,275,1,False
22:29:35,0,155,275,1,False
22:30:05,0,155,275,1,False
22:30:35,0,155,275,1,False
22:31:06,0,155,275,1,False
22:31:36,0,155,275,1,False
22:32:06,0,155,275,1,False
22:32:36,0,155,275,1,False
22:33:06,0,155,275,1,False
22:33:36,0,155,275,1,False
22:34:06,0,155,275,1,False
22:34:36,0,155,275,1,False
22:35:06,0,155,275,1,False
22:35:36,0,155,275,1,False
22:36:06,0,155,275,1,False
22:36:36,0,155,275,1,False
22:37:06,0,155,275,1,False
22:37:36,0,155,275,1,False
22:38:06,0,155,275,1,False
22:38:36,0,155,275,1,False
22:39:06,0,155,275,1,False
22:39:36,0,155,275,1,False
22:40:06,0,155,275,1,False
22:40:36,0,155,275,1,False
22:41:06,0,155,275,1,False
22:41:36,0,155,275,1,False
22:42:06,0,155,275,1,False
22:42:36,0,155,275,1,False
22:43:06,0,155,275,1,False
22:43:36,0,155,275,1,False
22:44:06,0,155,275,1,False
22:44:36,0,155,275,1,False
22:45:06,0,155,275,1,False
22:45:37,0,155,275,1,False
22:46:07,0,155,275,1,False
22:46:37,0,155,275,1,False
22:47:07,0,155,275,1,False
22:47:37,0,155,275,1,False
22:48:07,0,155,275,1,False
22:48:37,0,155,275,1,False
22:49:07,0,155,275,1,False
22:49:37,0,155,275,1,False
22:50:07,0,155,275,1,False
22:50:37,0,155,275,1,False
22:51:07,0,155,275,1,False
22:51:37,0,155,275,1,False
22:52:07,0,155,275,1,False
22:52:37,0,155,275,1,False
22:53:07,0,155,275,1,False
22:53:37,0,155,275,1,False
22:54:07,0,155,275,1,False
22:54:37,0,155,275,1,False
22:55:07,0,155,275,1,False
22:55:37,0,155,275,1,False
22:56:07,0,155,275,1,False
22:56:37,0,155,275,1,False
22:57:07,0,155,275,1,False
22:57:37,0,155,275,1,False
22:58:07,0,155,275,1,False
